,j
B P-[1879].Fl,1
1973.220,1
B A-[1939].Fl,1
PAMP Sipkins-1,1
"D.P.W.-1:24,000 (Amityville Quad).R",1
L.I.-[1873]a.Fl,1
Bergen-[18--?]uu.Fl,1
PAMP Carroll-1,1
1978.049,1
PAMP FosterGL-1,1
1985.044,1
NYS-1758 (18--?).Fl,1
1978.174,1
PAMP Dana-1,1
1986.057,1
PAMP Douglas-5,1
1985.004,1
"D.P.W.-1:24,000 (Jamiaca Quad).R",1
1985.039,1
2000.013,1
PAMP ClayH-4,1
B A-2009.Fl,1
B A-2011.Fl,1
V1991.013,1
V1991.124,1
PAMP HaleJP-2,1
PAMP Christy-1,1
PAMP What-1,1
PAMP KirkEN-1,1
B P-[1852].Fl,1
1978.124,1
1991.001,1
1977.522,1
PAMP ConwayMF-1,1
(65) B P-[1839].A,1
V1986.038,1
1973.223,1
V1998.002,1
PAMP SpearST-7,1
ARC.218,1
B A-1872.Fd,1
2007.018,1
PAMP JacobsHA-1,1
1977.454,1
PAMP NCBFAA-1,1
L.I.-1904a.Fl,1
IPOF E445.M3 P46 2006,1
NYC-1767 (1967).Fl,1
ARC.120,1
B P-[1825?]a.Fl,1
PAMP Douglas-6,1
US-1842.A.RA,1
PAMP Sumner-22,1
L.I.-[197-?].Fl.Folio,1
2007.047,1
1992.013,1
PAMP BeecherCE-1,1
V1982.003,1
PAMP ShieldsJ-1,1
"D.P.W.-1:24,000 (East Hampton Quad).R",1
B A-1897.Fl,1
ARC.150,1
B P-1880.Fl,1
B P-[1835].Fl.Folio c.3,1
NYC-1927.Folded,1
PAMP CSA-1,1
PAMP Bemis-1,1
NYS-[1950].Fl,1
V1986.026,1
PAMP ClayH-5,1
1977.560,1
PAMP AmCS-10,1
NYS-[1825?].Fl,1
PAMP FisherGE-1,1
ARC.217,1
(83) Q-1913-1919.A v.2a,1
PAMP Pelletan-1,1
L.I.-1974.O,1
CBBG HQ801.8 .N27 1997,1
B P-[1869]d.Fl,1
1977.193,1
PAMP Table-2,1
PAMP StephensAH-2,1
ARC.123,1
PAMP RootJM-1,1
PAMP Barnard-1,1
Q-1948.Folded,1
Bergen-[18--?]ff.Fl.O,1
B A-1856b.Fl,1
PAMP Channing-3,1
B P-[1833]a.Fl,1
1978.153,1
B A-[19--?]e.Fl,1
ARC.269,1
PAMP Latrobe-1,1
B P-[1873].Fl,1
1973.087,1
1973.291,1
1974.044,1
Q-1921.Fl,1
B PP-[1867?].Fl,1
1977.255,1
NYS-1756.Fl.RA,1
1977.198,1
1992.006,1
PAMP Blodgett-1,1
1977.625,1
Q-1840.Fl,1
"D.P.W.-1:24,000 (Flushing Quad).R",1
B P-1870 (1943)b.Fl,1
PAMP DonnellRS-1,1
NYC-1860a.Fl,1
PAMP Meigs-1,1
M-[1886?].Fl,1
B P-[1848]a.Fl c.2,1
B P-[1877].Fl.RA,1
PAMP BRFAL-9,1
1973.127,1
B P-[183-?].Fl,1
IPOF F128.9.N4 W48 2002,1
PAMP Sumner-6,1
PAMP Bay-1,1
B A-[1940?].Fl,1
B P-[18--?]g.Fl,1
PAMP Sumner-24,1
Bergen-[1892?]f.Fl,1
"USGS-1:62,500 (Port Jervis).Fl",1
1986.042,1
PAMP Dorr-1,1
B P-[189-?]a.Fl.Folio,1
PAMP Durkee-1,1
M-1817 (1855?).Fl,1
NYC-[186-?]a.Fl,1
1992.015,1
Bergen-[185-?].Fl,1
B A-1995.Fl,1
L.I.-[189-?]a.Fl,1
B A-1911.Fd.RA,1
PAMP CDAS-4,1
PAMP FES-1,1
PAMP Giddings-4,1
1973.175,1
L.I.-1905c.Fl,1
PAMP Cheever-3,1
1986.026,1
Bergen-1887b.Fl,1
B P-[189-?]e.Fl,1
PAMP Fulton-2,1
1973.113,1
Bergen-1886.Fl,1
B P-[1869]a.Fl c.2,1
V1987.011,1
1978.021,1
ARC.216,1
V1988.025,1
PAMP PeabodyE-2,1
B A-2011b.Fl,1
NYS-1856.Fl,1
PAMP ClayH-7,1
V1974.036,1
(99) World-1952.A,1
L.I.-[1873]l.Fl c.2,1
N. Amer.-1621 (1877).Fl,1
2015.004,1
PAMP LincolnA-2,1
Bergen-1901.Fl,1
PAMP AmCS-8,1
1977.545,1
N.J. 1890a.Fl,1
1973.183,1
ARC.009,1
ARC.019,1
B P-[1865?].Fl.F,1
B P-1836.Fl.Folio,1
L.I.-1929.Fl,1
Bergen-[185-?]j.Fl,1
Pierrepont-[18--?]h.Fl,1
B A-1884.Fl,1
PAMP ClevelandWN-1,1
L.I.-[1845?].Fl,1
ARC.198,1
1977.286,1
B P-1884.Fl,1
PAMP Dickinson-1,1
Bergen-1887a.Fl,1
1978.141,1
"D.P.W.-1:24,000 (Southampton Quad).R",1
1986.050,1
Bergen-1889a.Fl,1
PAMP Document-2,1
PAMP Child-1,1
US-[1892?].Fl,1
Q-1913.Fl.Folio,1
L.I.-1927.Fl.Folio,1
Bergen-[1892?]a.Fl,1
1977.365,1
1985.023,1
PAMP HowSB-1,1
NYS-1886.Fl,1
1978.137,1
"D.P.W.-1:24,000 (Lloyd Harbor Quad).R",1
1977.406,1
1985.048,1
ARC.039,1
1985.021,1
1977.074,1
2012.002,1
Bergen-1890.Fl,1
NYS-1894a.Fl,1
NYC-1830.Fl,1
1977.437,1
Lefferts QP36.W18,1
ARC.202,1
ARC.125,1
PAMP SargentFW-1,1
PAMP Talmage-1,1
1974.179,1
Pierrepont-[1885?].Fl,1
PAMP Farnsworth-1,1
Bergen-[186-?]c.Fl,1
1977.506,1
RI-1855.Folded,1
PAMP Craig-1,1
1977.190,1
PAMP DPNY-2,1
B P-[1846]c.Fl,1
1985.097,1
PAMP Beard-1,1
NYS-1841a.Fl,1
1985.013,1
PAMP Duer-1,1
1977.415,1
NYC-1969.Fl,1
B A-[1892?].Fl,1
L.I.-1910.Fd,1
B A-1776 (1864).Fl,1
B A-1887.Fl,1
Bergen-[18--?]dd.Fl,1
NYC-[1900?].Fl,1
NYS-[1850]a.Fl,1
1977.172,1
1985.077,1
L.I.-[18--?]j.Fl,1
1977.501,1
1979.007,1
ARC.138,1
B P-[18--?]d.Fl,1
PAMP Burnett-1,1
PAMP Buck-1,1
1993.001,1
L.I.-1891.Fl.O,1
M-[1940].Fl,1
ARC.227,1
PAMP SargentLM-1,1
NYC-1766-1767 (1973).Fl,1
1977.209,1
1994.013,1
PAMP Sumner-29,1
B C-1995.Fl,1
B P-[18--?]o.Fl,1
B A-1984.Fl c.2,1
"D.P.W.-1:24,000 (Gardiners Island East Quad).R",1
PAMP Everett-3,1
B P-[1853?].Fl,1
PAMP DodgeMA-1,1
PAMP Appeal-2,1
ARC.195,1
PAMP AFAS-7,1
V1988.039,1
PAMP DuBois-1,1
B A-1888b.Fl,1
(95) NYS-1876.A,1
1977.143,1
M-1776 (1863).Fl,1
B P-[1862].Fl.Folio c.2,1
V1986.249,1
V1990.048,1
B P-1891a.Fl.O,1
PAMP Howlett-1,1
PAMP Julian-2,1
ARC.275,1
1992.003,1
B A-[1848?]a.Fl,1
PAMP PalmerBM-1,1
1986.008,1
PAMP ASCFPC-1,1
B P-[188-?]c.R,1
1977.413,1
1977.257,1
NYC-1905.Fl,1
PAMP PierceEL-1,1
PAMP BassettW-1,1
Atl.-1866.Fl,1
CBBG E184.A1 M89 1996,1
PAMP RaymondHJ-2,1
CBBG PS3569.E618 C38 1999,1
B P-[18--?]a.Fl.O,1
NYC-1766-1767 (1853).Fl,1
B A-[1971?].Fl,1
PAMP Gillette-1,1
PAMP DNR-1,1
B C-[18--?]a.Fl,1
1978.158,1
B A-1869b.Fl c.2,1
M-1695 (1853).Fl,1
V1987.002,1
(71) M-1930.A,1
V1991.069,1
B P-[17--?] (1864).Fl c.2,1
Q-[1869].Fl,1
B A-1862.Fl,1
V1990.029,1
Bergen-1855a.Fl,1
PAMP Sloane-1,1
PAMP ClarkeJF-1,1
ARC.180,1
1990.027,1
B P-[1847].Fl.Folio,1
US-[179-?].Fl.RA,1
2013.009,1
(89) L.I.-1924.A.F v.1-2,1
PAMP AdamsCF-1,1
PAMP DPNY-1,1
PAMP Gentry-1,1
PAMP FisherHW-1,1
B P-[1850]d.Fl,1
PAMP Bassett-2,1
ARC.258,1
V1990.023,1
1985.115,1
2001.053,1
PAMP Sumner-21,1
B A-[1873]c.Fl,1
PAMP Wheatley-1,1
PAMP Supreme Court-1,1
IPOF E449.D84,1
V1991.067,1
PAMP JamesH-1,1
1974.242,1
B P-[1846]a.Fl,1
PAMP Constitutionalist-1,1
M-2000.Fl,1
N.J. 1890.Fl,1
B P-[1862].Fl.Folio c.3,1
B PP-2010.Fl,1
B P-[18--?]c.Fl,1
2014.002,1
B P-[1850].Fl,1
1977.492,1
L.I.-[1905?].Fl,1
PAMP Ariel-1,1
PAMP Edgar-1,1
L.I.-1903.Fl,1
PAMP ParkerJ-3,1
ARC.055,1
PAMP Silvester-1,1
V1984.002,1
PAMP Holland-1,1
ARC.013,1
NYS-1932.Fl,1
NYC-2010.Fl,1
1977.149,1
1973.121,1
2013.001,1
1973.292,1
World-1841.A.RA,1
NYS-1960.Fl,1
E-US-[1562?].Fl.RA,1
PAMP JSFEF-1,1
1974.122,1
1977.204,1
NYC-2001a.Fl,1
1980.009,1
B A-[195-?]a.Fl,1
Rev. War-1776-1783 (18--?)b.Fl,1
PAMP SewardWH-14,1
Bergen-1869a.Fl,1
B A-[2010?]b.Fl,1
1985.020,1
1977.580,1
L.I.-1855.Fl.O,1
1974.156,1
NYC-[1853?].Fl,1
M-1880a.A.RA,1
1977.498,1
PAMP AFAS-2,1
1973.089,1
1973.081,1
M-1660 (1947).Fl,1
PAMP Madden-1,1
L.I.-[1873]o.Fl,1
Pierrepont-1828.Fl,1
PAMP Dawes-2,1
PAMP Sumner-4,1
L.I.-[19--?]c.Fl,1
1974.133,1
M-1796 (1861).Fl,1
PAMP SewardWH-5,1
PAMP Life-1,1
1978.090,1
NYC-1873.Fl,1
PAMP Clingman-1,1
PAMP ThompsonJP-3,1
B P-[1842].Fl,1
M-1814 (1856).Fl,1
ARC.053,1
B A-1845.Fl c.2,1
B A-1860.Fl,1
1980.011,1
1973.146,1
1977.391,1
Pierrepont-1859.Fl,1
B A-1804 (1918).R,1
B A-[1990?].Fl,1
NYC-2011.Fl,1
NYS-1907.Folded,1
1995.009,1
Bergen-1892a.Fl,1
1977.623,1
B P-[1873].A.RA c.2,1
PAMP NottCC-1,1
1973.111,1
1977.533,1
L.I.-[1891].Fl,1
U.S.C.S.-1845 (1976).Fl,1
B P-[1850?].Fl,1
N.E.-1782 (1963).Fl,1
PAMP Clapp-1,1
B P-[1907].Fl,1
NYS-[1827?].Fl,1
Bergen-1828 (1869).Fl.O,1
PAMP SmithG-1,1
PAMP PrentissGL-2,1
NYC-2007.Fl,1
Bergen-[1877?].Fl,1
CBBG PN6071.B57 A58 2004,1
PAMP LowHR-1,1
PAMP Ferry-1,1
PAMP Table-1,1
B A-17th century-19th century (1944).Fl,1
1985.093,1
1977.048,1
1977.208,1
PAMP Inquiry-1,1
V1988.047,1
B P-[18--?]j.Fl,1
PAMP Latrobe-2,1
1977.220,1
PAMP Baird-1,1
2015.029,1
PAMP MannH-4,1
M-1656-1728 (18--?).Fl,1
B P-[1855]a.Fl,1
PAMP BlairFP-1,1
ARC.049,1
1974.035,1
B A-1879a.Fl,1
B P-[188-?].Fl,1
1977.084,1
PAMP APM-1,1
2011.006,1
1977.006,1
1978.149,1
(64b) NYC-1956.A,1
PAMP Sumner-23,1
PAMP FooteAH-1,1
B P-1852.Fl.Folio,1
ARC.110,1
PAMP Emmet-1,1
1991.012,1
V1990.073,1
B A-1971e.Fl,1
2013.005,1
B A-[18--?]a.Fl.Folio,1
B P-[18--?]f.Fl,1
PAMP CSAFCCY-1,1
PAMP RandA-1,1
M-[1880].A.RA,1
NYC-[186-?]b.Fl,1
1978.117,1
1985.106,1
PAMP Carroll-2,1
B A-1873 (19--?).Fl,1
PAMP Gooch-1,1
1991.026,1
B A-[18--?]b.Fl.Folio,1
B A-1953a.Fl,1
PAMP CIFPC-2,1
Bergen-[189-?]d.Fl,1
1978.145,1
1978.075,1
NYC-2015.Fl,1
NYS-1790 (18--?).Fl,1
B P-[1870?]a.Fl c.5,1
1973.250,1
1977.323,1
NYS-[1829].Folded,1
1977.417,1
PAMP Corrupt-1,1
Lefferts BX5943.A1 1868,1
V1990.028,1
M-[18th-19th Century] (1910).Fl,1
M-2001.Fl,1
1977.608,1
B P-1868a.Fl,1
V1988.033,1
PAMP Pennington-2,1
Bergen-1892d.Fl,1
PAMP SullivanTR-1,1
PAMP English-1,1
PAMP Republican-2,1
B A-2011a.Fl,1
1978.100,1
1977.414,1
ARC.165,1
1977.312,1
1979.010,1
L.I.-1851.Fl,1
1985.116,1
S.I.-1996.Fl,1
PAMP AFAS-6,1
PAMP BeecherHW-2,1
"D.P.W.-1:24,000 (Middle Island Quad).R",1
Nautical chart-13006.Fl.Folio,1
ARC.026,1
1974.250,1
CBBG GV875.B7 G65 2000,1
"USGS-1:24,000 (Mechanicville).Fl",1
NYC-1953.Fl,1
B A-1843.Fl,1
PAMP StevensT-1,1
PAMP Jacobs-1,1
PAMP PrentissGL-1,1
1974.228,1
1992.020,1
1991.019,1
1977.202,1
1985.064,1
V1987.010,1
PAMP Suppe-1,1
1977.483,1
NYS-1864.Fl C2 c.2,1
PAMP LincolnA-3,1
B P-[1834]e.Fl,1
V1997.075,1
B A-1971a.Fl.Folio,1
PAMP Bennett-2,1
1974.160,1
1974.006,1
NYC-1863.Fl,1
PAMP Address-1,1
Bergen-1860.Fl,1
PAMP SeymourH-1,1
L.I.-1847.Folded,1
NYC-[1860].Fl,1
1978.040,1
IPOF F128.9.N4 W55 2001,1
NYC-1960.Fl,1
NYS-1880.Fl,1
1991.057,1
P-1870 (1942).Fl c.3,1
PAMP ClarkJB-1,1
PAMP MortonOP-2,1
PAMP Document-1,1
1981.009,1
PAMP ThayerE-1,1
1993.004,1
Bergen-[1877]a.Fl,1
Bergen-[189-?]a.Fl,1
1988.018,1
Bergen-[185-?]b.Fl,1
NYS-1827.Fl,1
B P-[1889?].Fl.Folio,1
1973.229,1
US-1845.A.RA,1
PAMP SebastianWK-1,1
PAMP ClayCM-1,1
NYS-[1987].Fl,1
ARC.103,1
ARC.236,1
PAMP Dabney-1,1
PAMP AFAS-8,1
2006.011,1
B A-[1897?]c.Fl,1
(73) NYC-[1924?].A,1
1978.168,1
1977.671,1
1974.257,1
PAMP BTAS-1,1
ARC.137,1
NYC-1939b.Fl,1
Nautical chart-13205.Fl.Folio,1
PAMP Crummell-1,1
B A-[188-?].Fl,1
Nautcal Chart-1108.Fl.Folio,1
B C-[193-?]a.Fl,1
B A-1959.Fl,1
B A-1960.Fl.F,1
B A-[1884?].Fl,1
ARC.178,1
1973.196,1
B P-[1889].Fl,1
ARC.263,1
1977.603,1
B A-[18--?]c.Fl,1
B A-[185-?]b.Fl,1
PAMP Motley-2,1
NYS-1800 (1847).Fl,1
1986.036,1
L.I.-1952.A.RA,1
Rev. War-1776 (18--?)c.Fl,1
1973.084,1
1992.016,1
B P-[1897?].Fl.Folio,1
PAMP McDonogh-1,1
1985.091,1
PAMP Fessenden-1,1
1973.140,1
PAMP PFAS-1,1
NYC-[1972].Fl,1
Bergen-1876.Fl,1
ARC.243,1
1977.618,1
1977.106,1
B P-[1852]a.Fl,1
L.I.-[1855].Fl,1
B P-1842.A.RA,1
B P-[1833]c.Fl,1
E-US-[1736].Fl.RA,1
NYC-[1939].Fl,1
B A-[19--?].Fd.RA,1
V1974.003,1
B P-[1835]a.A.RA,1
NYC-1872.Fl,1
1990.013,1
ARC.277,1
V1974.034,1
PAMP Sumner-16,1
PAMP Dowdell-1,1
ARC.170,1
PAMP AmCS-17,1
NYC-2002.Fl,1
PAMP Issue-2,1
B B-[1920].Fl,1
Bergen-1855.O,1
B A-[1873]b.Fl,1
Q-[1873]d.Fl,1
1977.083,1
"USGS-1:62,500 (Newburg).Fl",1
"D.P.W.-1:24,000 (Lawrence Quad).R",1
PAMP PayneDA-1,1
1977.141,1
B P-1848a.Fl,1
Nautical Chart-12143.Fl.Folio,1
PAMP HallNe-2,1
B P-[1825?].Fl,1
PAMP Loyalty-1,1
B C-[192-?].Fl,1
B P-[1870].Fl,1
1977.412,1
ARC.041,1
ARC.177,1
PAMP Cochin-2,1
B A-1971k.Fl,1
1973.160,1
1977.086,1
ARC.184,1
2005.001,1
Bergen-[18--?]ee.O,1
PAMP PYMRSF-1,1
B P-1887.Fl,1
Bergen-[185-?]d.Fl,1
2008.010,1
1977.285,1
1977.456,1
B A-1899.Fl,1
NYS-1797 (1847).Fl,1
B A-[18--?]f.Fl,1
PAMP Inconsistency-1,1
PAMP Darling-1,1
Bergen-1857.Fl,1
1973.108,1
V1986.022,1
B P-[1848].Fl,1
1977.313,1
1985.085,1
PAMP DavisHW-1,1
B B-1946.Fl,1
B A-[195-?]d.Fl,1
V1986.059,1
PAMP Real-1,1
1977.046,1
B A-1959a.Fl,1
NYC-1992.Fl,1
PAMP Fish-1,1
Bergen-[1869?].Fl,1
NYS-1855.Fl,1
M-1664 (1859?).Fl,1
PAMP DeGrasse-1,1
ARC.271,1
PAMP Latrobe-3,1
CBBG PS374.M35 W45 2005,1
1978.004,1
ARC.127,1
PAMP Gurley-1,1
1974.149,1
PAMP LowHR-2,1
(104) US-1966.A,1
PAMP Arnold-1,1
CBBG CT275.B56732 A3 2009,1
PAMP QuincyJ-1,1
V1974.024,1
PAMP ReedWB-1,1
(103) World-1855.A,1
Rev. War-1775-1783 (1881).A,1
PAMP Fowler-1,1
Q-[1873]o.Fl,1
NYS-1820.Fd.Folio,1
1978.006,1
1973.296,1
1985.045,1
Lefferts BR85.D78 1898,1
PAMP ChaseW-1,1
ARC.272,1
PAMP Kansas-1,1
2013.008,1
B P-[1851]d.Fl,1
1978.134,1
1977.604,1
1977.530,1
B A-1864.Fl,1
PAMP EllisGE-1,1
2012.010,1
PAMP Sumner-15,1
1977.519,1
PAMP BrownTC-1,1
PAMP Leggett-1,1
1985.034,1
B A-1882.Fl,1
1977.287,1
PAMP Free-1,1
PAMP Waterston-1,1
L.I.-[1873]i.Fl,1
S.I.-[1963?].Fl,1
NYC-2015a.Fl,1
B P-[1854?].Fl.Folio,1
2007.041,1
L.I.-1889.Fl,1
Bergen-1890e.Fl,1
1988.016,1
NYS-1839.Fl,1
B P-[18--?]k.Fl,1
Bergen-1851.Fl.O,1
NYC-[1917?].Fl,1
1977.020,1
ARC.083,1
1977.562,1
1980.004,1
PAMP LordD-1,1
1973.297,1
World-1911.A,1
B P-1939.Fl.Folio,1
PAMP Dewey-1,1
1985.105,1
1974.072,1
PAMP BairdHC-1,1
1985.113,1
B P-1888a.Fl,1
1978.162,1
Q-[18--?]a.Fl,1
1989.010,1
Mid. Atl.-[1958].Fl,1
ARC.068,1
V1991.105,1
1986.039,1
ARC.168,1
PAMP SC-1,1
PAMP StuartCE-1,1
B P-[1890].A,1
PAMP AASS-1,1
B P-[1834]f.Fl,1
1973.287,1
V1997.083,1
B PP-[1865].Fl,1
2014.010,1
1973.305,1
1977.117,1
"D.P.W.-1:24,000 (Napeague Beach Quad).R",1
PAMP Marjoribanks-1,1
PAMP SewardWH-8,1
PAMP Appleton-1,1
Rev.War-1776(1976)b.Fl,1
E-US-1939.Fl c.2,1
2011.007,1
PAMP StewartA-1,1
NYS-1805 (1847)a.Fl,1
L.I.-1910a.Fl,1
B PP-1986.Fl,1
PAMP StephensAH-3,1
PAMP Duffield-1,1
PAMP FitchGN-1,1
NYS-1937.Fl,1
B P-[1888]a.Fl,1
PAMP Martineau-2,1
NYC-1848.Fl.RA,1
1977.136,1
1986.016,1
NYC-[1921?]a.Fl,1
PAMP Address-2,1
NYS-1798 (1850).Fl,1
B P-1830.Fl.O,1
NYC-1843.Fl.RA,1
ARC.209,1
1973.310,1
Pierrepont-1894.Fl,1
PAMP SmithGo-1,1
PAMP MorseSE-1,1
Rev. War-1775-1781 (18--?).A.F,1
NYC-1887.Fl,1
PAMP ParkerT-2,1
1973.219,1
B A-[1888].Fl.F,1
1978.052,1
1973.188,1
PAMP Cairnes-1,1
M-[1836?].Fl,1
PAMP Sumner-2,1
2016.028,1
B P-[1870]a.Fl,1
L.I.-1894a.Fl,1
2007.044,1
ARC.301,1
1978.024,1
PAMP AmCS-3,1
B A-1971l.Fl,1
B A-1846a.Fl,1
ARC.146,1
1979.021,1
1977.041,1
B P-1919.Fl,1
PAMP IngersollJR-1,1
PAMP Fletcher-1,1
Bergen-[18--?]e.Fl,1
L.I.-[19--?]d.Fl,1
B P-[18--?].Fl.RA,1
V1991.125,1
PAMP CampbellLD-1,1
PAMP Oliphant-1,1
B PP-2005.Fl,1
NYC-1766-1767 (1854).Fl,1
Bergen-1890-1891.Fl,1
1977.387,1
ARC.201,1
Bergen-[189-?]c.Fl,1
PAMP SmithG-2,1
B P-[1878].Fl,1
(64d) E-US-1971a.A,1
V1974.015,1
V1997.073,1
1978.019,1
Bergen-1869b.Fl,1
ARC.012,1
B P-1897.Fl,1
V1974.043,1
PAMP QuincyJ-3,1
1977.162,1
NYS-1864.Fl C2,1
Mid. Atl.-1904.Fd.RA,1
PAMP MooreE-1,1
PAMP Authentic-1,1
PAMP ParkerT-1,1
NYC-1932.Fl,1
PAMP BFASD-1,1
1977.321,1
1977.517,1
2010.010,1
IPOF E185.96.H65 1988,1
M-1834.A.RA,1
B A-1879c.Fl,1
Q-[1873]h.Fl,1
PAMP MillJS-1,1
1991.051,1
NYC-[1929?].Fl,1
PA-1792.Fl.RA,1
PAMP Christian-1,1
B P-[1838].Fl,1
PAMP Martyr-1,1
1978.054,1
1977.304,1
PAMP Campbell-2,1
PAMP ScribnerIW-1,1
V1987.013,1
B P-[1869].Fl,1
1974.018,1
B P-[1835]b.Fl,1
Bergen-1853-1860.Fl,1
NYS-[1953].Fl,1
B P-[1869]f.Fl,1
PAMP Sumner-9,1
1974.247,1
PAMP Kirkland-1,1
PAMP DeanG-1,1
B A-1962c.Fl,1
1977.062,1
N. Amer.-1529 (1873?).Fl,1
"D.P.W.-1:24,000 (Wading River Quad).R",1
1979.012,1
U.S.C.S.-[1856].Fl,1
NYC-1995.Fl,1
ARC.056,1
2007.008,1
B A-1889.A.Folio,1
NYS-1797 (1847)d.Fl,1
PAMP FisherSG-1,1
ARC.034,1
ARC.171,1
1980.025,1
1977.396,1
2006.034,1
