,j
Rev. War-1777 (1968).Fl,1
B P-[1839].Fl,1
NYC-[18-?]a.Fl,1
B P-[1849]b.Fl,1
B A-[2002?].Fl,1
Q-1864.Fl.O,1
NYS-[1829].Fl,1
B P-[1835].A.RA,1
1974.178,1
1977.049,1
2015.024,1
PAMP Bushnell-2,1
Rev. War-[1776?]c.Fl.RA,1
PAMP BrooksE-1,1
B A-1971j.Fl,1
1986.010,1
1977.593,1
V1987.041,1
PAMP Rankin-1,1
Bergen-[189-?].Fl,1
1977.012,1
NYC-2009.Fl,1
1978.119,1
NYC-[1954?].Fl,1
ARC.167,1
1973.154,1
NYS-1889.Fl.Folio,1
M-1880.A.RA,1
Bergen-[18--?]f.Fl,1
1977.632,1
V1990.054,1
L.I.-1600-1924 (1936).Fl,1
B P-[17--?] (18--?).Fl,1
NYS-[1990?].Fl.O,1
B A-1776-1777 (1876).Fl,1
PAMP DavisN-1,1
Luquer-1848.Fl,1
B PP-[1886?].Fl.Folio,1
1977.557,1
U.S.C.S.-360.Fl,1
PAMP ASCFPC-16,1
PAMP StewartC-1,1
M-1967.Fl,1
2005.014,1
Bergen-[18--?]k.Fl,1
1978.041,1
PAMP ASCFPC-9,1
PAMP Edwards-3,1
B A-1869.Fl,1
Mid Atl.-1846.Fl,1
IPOF E185.A97 2001,1
PAMP Cochin-1,1
PAMP Cairnes-2,1
Bergen-[1850?]a.Fl,1
B A-[18--?]d.Fl,1
1977.649,1
L.I.-[19--?]b.Fl,1
PAMP ThompsonJP-4,1
V1991.066,1
B P-1873(1946).Fl.Folio,1
B B-[2011].Fl,1
B C-[18--?].Fl,1
1977.481,1
Bergen-1857a.Fl,1
B A-1971g.Fl,1
B A-[18--?].Fl.O,1
Pamp Herkimer-1,1
L.I.-1897.A,1
L.I.-1979.Fl,1
PAMP SimmonsC-1,1
V1986.009,1
PAMP Carpenter-2,1
V1974.029,1
PAMP Everett-4,1
"D.P.W.-1:24,000 (Patchogue Quad).R",1
PAMP SC-2,1
B P-[1870]d.Fl,1
B C-[193-?].Fl,1
M-[186-?].Fl.RA,1
"D.P.W.-1:24,000 (Montauk Point Quad).R",1
NYS-1829.Fl,1
PAMP AFUC-2,1
B A-[1893?]a.Fl,1
Bergen-[1850?].Fl,1
PAMP Boston-3,1
ARC.065,1
B P-[184-?].Fl,1
1977.278,1
V1986.037,1
NYC-[185-?]b.Fl,1
ARC.239,1
V1990.020,1
V1991.109,1
1977.076,1
1978.007,1
2016.015,1
Bergen-1891a.Fl,1
PAMP MarshallH-1,1
1985.005,1
1977.405,1
PAMP BeecherHW-1,1
Q-[1873]n.Fl,1
PAMP Pim-1,1
B PP-[2007].Fl,1
PAMP Booth-1,1
B C-[1903].Fl.F,1
B A-[1873].Fl c.2,1
1995.011,1
PAMP Foss-1,1
PAMP Goodell-2,1
B A-1870.Folded.RA,1
NYC-1829a.Fl,1
US-1777.Fl.RA,1
"USGS-1:62,500 (Phoenicia).Fl",1
PAMP LewisWH-1,1
Q-1907.A.RA vol. 1,1
V1974.012,1
PAMP RiceR-1,1
PAMP Kirkland-2,1
PAMP Whipple-1,1
1990.011,1
1973.212,1
B A-1842 (19--?).Fl,1
B P-[1848]a.Fl,1
E-US-[1666].Fl,1
PAMP Andrews-1,1
1974.222,1
PAMP JacksonA-1,1
ARC.052,1
PAMP Cass-1,1
"D.P.W.-1:24,000 (Far Rockaway Quad).R",1
PAMP Fee-1,1
PAMP Bassett-1,1
1973.195,1
NYC-1829.Fl,1
1974.258b,1
B A-1850.Folded,1
1974.129,1
PAMP BRFAL-4,1
Bergen-[1892?]g.Fl,1
B A-1875b.Fl,1
1974.029,1
B PP-1865.Fl,1
1977.651,1
NYC-1939.Fl,1
PAMP Boutwell-1,1
1978.177,1
PAMP Nordhoff-1,1
PAMP Sumner-10,1
PAMP ReedWB-3,1
B P-[1863]d.Fl,1
1986.031,1
L.I.-1968.Fl.Folio,1
ARC.237,1
Bergen-[18--?]x.Fl,1
PAMP SewardWH-10,1
IPOF E185.97.H69 A33 1982,1
Bergen-1854b.Fl,1
B P-[1890].Fl.Folio,1
E-US-1848.Fl,1
B A-[1883?].Fl,1
PAMP Spooner-1,1
V1981.284,1
B C-2001.Fl,1
Bergen-1870.Fl,1
B A-1888.Fl,1
B A-1953.Fl,1
B C-1985d.Fl.O,1
PAMP AFIC-1,1
PAMP SergeantJ-1,1
B A-1842 (19--?).Fl c.2,1
PAMP Floy-1,1
1980.033,1
V1987.015,1
B P-1830a.Fl,1
1973.279,1
PAMP DavisGT-1,1
PAMP Brown-1,1
PAMP WhiteRG-1,1
"D.P.W.-1:24,000 (Brooklyn Quad).R",1
ARC.166,1
1978.110,1
PAMP GCASYMFAC-1,1
M-1967.Fl c.2,1
B A-1890.Fl,1
B PP-1869.Fl,1
B C-1925.Fl.F,1
B P-1870 (1943)b.Fl c.2,1
Bergen-[186-?]b.Fl,1
2009.012,1
L.I.-[19--?]a.Fl,1
2015.028,1
2005.021,1
1974.021,1
PAMP Bacon-3,1
Pierrepont-[1835?]a.Fl,1
ARC.092,1
PAMP Henderson-1,1
ARC.107,1
PAMP TappanMW-1,1
1978.014,1
B P-[1927?].Fl,1
PAMP Manzano-1,1
1974.007,1
"DOT-1:9,600 (Hicksville-north).Fl.Folio",1
B P-[188-?]a.Fl,1
2012.017,1
B A-1875a.Fl,1
1995.002,1
"D.P.W.-1:24,000 (Bay Shore West Quad).R",1
PAMP Confession-1,1
B A-1856a.Fl,1
L.I.-[1962?].Fl,1
NYC-1923.Fl,1
1977.134,1
Rev. War-1776 (1869).Fl c.2,1
PAMP ClevelandCF-1,1
PAMP Channing-5,1
ARC.016,1
1980.018,1
B A-1865.Folded.RA,1
B P-[1849].Fl,1
Bergen-1867a.Fl,1
M-1755 (1849).Fl,1
V1974.018,1
L.I.-1932.Fl,1
PAMP AmCS-11,1
1988.049,1
1977.515,1
PAMP SewardWH-9,1
1985.114,1
1978.135,1
PAMP FisherT-1,1
B P-1892.Fl,1
1985.119,1
ARC.109,1
B P-[1836].Fl.Folio,1
2009.014,1
ARC.210,1
CBBG PS3551.L35774 F57 2007,1
1978.035,1
V1980.003,1
1980.021,1
1977.496,1
Bergen-[1889?]a.Fl,1
1977.100,1
PAMP StearnsWA-3,1
PAMP America-1,1
ARC.147,1
PAMP Hammond-1,1
PAMP NYYMRSF-2,1
L.I.--17th-18th century(1889).Fl,1
"D.P.W.-1:24,000 (Lynbrook Quad).R",1
B P-1882.Fl,1
1977.602,1
Bergen-1855d.Fl,1
1981.007,1
PAMP Edwards-2,1
L.I.-[1787?] (184-?).Fl,1
B P-1837 (1874).Fl,1
1977.177,1
PAMP Allison-1,1
L.I.-[1891?].Fl.F,1
(97) US-[1838].A,1
B A-[1932?].Fl.Folio,1
1973.180,1
PAMP Anderson-1,1
ARC.228,1
NYS-1894.FL.Folio,1
PAMP SewardWH-1,1
V1989.022,1
Bergen-[185-?].Fl.O,1
M-[193-?].Fd,1
IPOF E449.R94 H63 2010,1
U.S.C.S.-119.Fl,1
NYS-1800 (1848).Fl,1
PAMP Sparks-1,1
PAMP DavisJ-1,1
PAMP AshmunJ-1,1
PAMP WestonGM-2,1
Q-[1873]m.Fl,1
N.E.-1685 (1974?).Fl,1
B P-1863.Fl.RA,1
M-[1873?] (19--?).Fl,1
PAMP ThomasBF-1,1
ARC.188,1
1973.260,1
PAMP MAS-3,1
1977.550,1
ARC.220,1
B P-[186-?]a.Fl,1
"D.P.W.-1:24,000 (Greenport Quad).R",1
1978.185,1
1977.482,1
B R-1996.Fl,1
PAMP Eliot-1,1
"D.P.W.-1:24,000 (Riverhead Quad).R",1
PAMP PikeJS-1,1
PAMP Benedict-1,1
PAMP PotterJ-1,1
CBBG E184.O6 S86 2001,1
PAMP Everett-2,1
PAMP Bristed-1,1
PAMP Kirkland-3,1
1977.521,1
V1974.026,1
CBBG E184.36.E84 G65 2006,1
NYS-1757 (19--?).Fl,1
V1986.019,1
PAMP MMLC-1,1
1978.001,1
B P-1873 (1958).Fl,1
Bergen-1886a.Fl,1
PAMP StearnsWA-1,1
ARC.139,1
Bergen-1787 (1861).Fl,1
PAMP LNL-1,1
PAMP Colfax-1,1
PAMP Ketchum-1,1
US-1898.A.RA,1
1973.256,1
ARC.101,1
V1984.1463,1
NYS-1952.Fl,1
B A-2001a.Fl,1
Q-[1873]b.Fl,1
PAMP Douglas-2,1
L.I.-[1873]q.Fl,1
PAMP GCCMDUS-1,1
PAMP Faulkner-1,1
ARC.007,1
1977.337,1
1987.006,1
PAMP BeecherE-1,1
1977.371,1
1977.002,1
(100) US-15th-19th Century (1926).A,1
Bergen-1868c.Fl,1
NYC-1919.Fl,1
B P-1873 (1958).Fl c.2,1
2005.020,1
CBBG E185.62 .C54 2009,1
B P-[189-?]g.Fl,1
1990.010,1
CBBG PN4874.W475 A3 2011,1
1977.175,1
2007.052,1
PAMP MooreGH-2,1
B P-1873 (1958).Fl c.4,1
PAMP AdamsN-1,1
US-1820.Fd,1
1977.473,1
PAMP PhillipsW-4,1
V1991.044,1
1974.203,1
PAMP Smectymnuus-1,1
Bergen-[18--?]y.Fl,1
2014.008,1
ARC.208,1
V1990.037,1
V1978.024,1
2007.039,1
PAMP SpragueP-1,1
L.I.-1948.Folded,1
B P-[1835].Fl.Folio c.2,1
B P-[1889].Fl c.2,1
B P-[186-?].Fl,1
1977.379,1
B A-1864.Fl.RA,1
B A-1994.Fl.Folio,1
NYC-[18--?] (1856).Fl,1
B C-[1919].Fl,1
NYC-1851b.Fd,1
Bergen-1868e.Fl,1
1977.600,1
PAMP SewardWH-2,1
PAMP AdamsN-2,1
"USGS-1:62,500 (Schunemunk)a.Fl",1
1986.058,1
Bergen-1884a.Fl,1
B A-1962b.Fl,1
E-US-1939.Fl,1
1977.064,1
2016.024,1
1977.407,1
Lefferts PS3250.E74 1874,1
1974.162,1
1977.636,1
"USGS-1:24,000 (Jersey City).Fl",1
1985.022,1
M-[183-?].Fd.Folio,1
M-1778 (1853).Fl c.2,1
B P-[1836]a.Fl.Folio,1
1977.063,1
NYC-[18--?]c.Fl,1
B P-1858.Fl,1
2012.004,1
PAMP Fulton-1,1
M-1853.Fl,1
1974.260,1
PAMP GarrisonWP-1,1
Rev. War-1783 (1909).Fl,1
2001.044,1
ARC.030,1
NYC-1855a.Fl,1
(85) L.I.-1915.A.F,1
Bergen-1890d.Fl,1
Rev. War-[1776] (18--?)d.Fl,1
ARC.222,1
"D.P.W.-1:24,000 (Jones Inlet Quad).R",1
PAMP Douglas-3,1
B P-[183-?]a.Fl,1
2004.023,1
B A-1873a.Fl,1
Pierrepont-1821.Fl,1
1977.378,1
B A-[189-?]f.Fl,1
Bergen-1889b.Fl,1
B P-1666 (18--?).Fl.Folio,1
CBBG PS3569.M465 F56 1997,1
B A-[1897?]a.Fl,1
B P-1844.Fl,1
Nautical charts-12353.Fl.Folio,1
NYC-1880.Fl,1
PAMP Fleming-1,1
N. Amer.-[172-?].Fl.RA,1
1980.014,1
M-[16--?] (1857).Fl,1
ARC.179,1
B P-[1887]a.Fl,1
(111) World-1936.A,1
M-[1833].Fl,1
ARC.025,1
ARC.040,1
1973.097,1
PAMP Republican-1,1
PAMP RobinsonWE-1,1
1977.308,1
PAMP ClarkeGJ-1,1
B P-[1833].Fl,1
PAMP StilesJC-3,1
B P-[1853].Fl c.2,1
L.I.-1947.Fl.Folio,1
1973.306,1
2000.016,1
B P-[1887?].Fl,1
NYC-1860b.Fl,1
PAMP Benton-3,1
B P-[1846-1849].Fl,1
M-[183-?].Folded,1
NYC-1857.Fl,1
PAMP Vaux-1,1
ARC.163,1
1985.052,1
B P-[1863].Fl,1
1973.251,1
PAMP Bellows-1,1
1973.311,1
B P-1842.Fl,1
ARC.111,1
1974.037,1
PAMP Bissell-1,1
PAMP Drake-7,1
B A-1879.Fl,1
1977.659,1
V1990.015,1
PAMP Laboulaye-3,1
(91) NYC-1881.A,1
IPOF E449.G67 1998,1
B P-[1846]b.Fl c.2,1
L.I.-[1889].Fl,1
ARC.050,1
2001.023,1
PAMP Child-5,1
B P-[1888?].Fl,1
PAMP Grimke-1,1
PAMP Remarks-2,1
B A-1962a.Fl,1
B P-[1862].Fl.Folio,1
Lefferts PT2603.R66 P83 1871,1
Bergen-[186-?]a.Fl,1
1985.027,1
B A-[196-?]b.Fl,1
PAMP Featherstonhaugh-1,1
NYC-1976.Fl.Folio,1
PAMP ThompsonJ-1,1
1977.203,1
IPOF N8243.S576 W663 2010,1
Pierrepont-1854.Fl,1
1974.190,1
PAMP Reply-1,1
(64c) NYC-20th century (1969).A,1
B P-[18--?]l.Fl,1
1994.005,1
NYS-[18--?]a.Fd,1
L.I.-[1873]r.Fl,1
1996.001,1
(72) NYC-1910.A,1
PAMP NYSCND-1,1
V1981.004,1
PAMP Cary-2,1
B A-[19--?].Fl,1
2017.014,1
1977.475,1
PAMP KingJA-1,1
1977.354,1
B P-[18--?]q.Fl,1
B C-1985c.Fl.O,1
ARC.233,1
PAMP DodgeWE-1,1
1977.509,1
PAMP SCRCR-1,1
PAMP Troy-1,1
NYC-1867.Fl c.2,1
"D.P.W.-1:24,000 (Orient Quad).R",1
B P-[1877].Fl,1
PAMP Gartrell-1,1
IPOF F130.N4 P47 2011,1
1986.055,1
Bergen-1884.Fl,1
B C-1885.Fl c.2,1
V1991.119,1
1978.057,1
PAMP Seaman-1,1
V1974.037,1
1978.069,1
PAMP Bradley-1,1
IPOF F128.9.N4 H37 2003,1
1986.005,1
ARC.044,1
1973.216,1
PAMP Stowe-2,1
1978.195,1
1974.170,1
NYC-1854a.Fl c.2,1
Q-1895.Fl,1
L.I.-[1957].Fl,1
2014.011,1
PAMP Bacon-1,1
PAMP ReedWB-2,1
1994.015,1
Bergen-[185-?]k.Fl,1
NYS-1850.Fl,1
1977.451,1
1994.009,1
V1986.023,1
Bergen-1896.Fl,1
1987.018,1
Bergen-[18--?]s.Fl,1
B P-[1834]d.Fl,1
Q-1964-1965a.Fl,1
Bergen-[1889]c.Fl,1
1974.051,1
1977.342,1
1977.025,1
Bergen-[18--?]i.Fl,1
ARC.276,1
1977.078,1
B P-[1863]a.Fl,1
1974.217,1
PAMP Bayard-1,1
L.I.-1882.Fl,1
1986.022,1
ARC.221,1
B P-1859.A,1
Mid. Atl.-1771 (1851).Fl,1
M-[1846].Fl.Folio,1
PAMP BRFAL-7,1
PAMP Downs-1,1
PAMP StuartM-1,1
2007.005,1
B P-1969.Fl.Folio,1
1991.006,1
(76) NYC-1938.A,1
V1982.009,1
Q-[1834].Fl.Folio,1
IPOF F128.9.N4 A44 2008,1
PAMP Fillmore-1,1
PAMP Nebraska-1,1
PAMP RushB-1,1
ARC.028,1
1986.025,1
1999.003,1
Rev. War-1775-1781 (1845?).A.RA,1
B A-1897 (19--?).Fl,1
PAMP ThompsonJa-1,1
US-1796a.A.RA,1
NYC-2005a.Fl,1
PAMP HallNe-1,1
B A-1984.Fl.Folio,1
(74) NYC-1933-1934.A,1
ARC.157,1
NYS-[1873].Fl,1
ARC.175,1
1977.105,1
ARC.265,1
NYC-1974a.Fl,1
V1987.006,1
M-[1870].Fl.Folio,1
PAMP BrooksJ-1,1
PAMP Pease-1,1
V1987.031,1
1977.577,1
PAMP Kinglsey-1,1
B P-[1846]b.Fl,1
"D.P.W.-1:24,000 (Moriches Quad).R",1
B A-1895a.Fl,1
B P-[1866].Fl.Folio c.2,1
1977.121,1
CBBG HQ1031 .M394 2009,1
PAMP StoneAL-1,1
B P-1891.Fl.Folio,1
PAMP Bird-1,1
1977.355,1
B A-1948.Fl,1
B P-[1848?].Fl,1
Q-2010.Fl,1
2007.042,1
1978.159,1
NYC-2005.FL,1
B A-1879.Fl c.2,1
B P-1840.Fl,1
PAMP Stocking-1,1
PAMP Lloyd-1,1
M-1660 (1933).Fl,1
Luquer-1848 (19--?).Fl c.2,1
NYC-1985.Fl,1
2012.018,1
2011.011,1
PAMP PearlC-1,1
1977.510,1
PAMP Sumner-13,1
ARC.047,1
B PP-1990.Fl c.2,1
2008.037,1
PAMP AUC-1,1
CT-[1855].Fl,1
NYC-[1961].Fl,1
B P-[1857].Fl,1
PAMP Stringfellow-2,1
V1986.018,1
1985.058,1
N. Amer.-1788.Fl.RA,1
PAMP SpearST-5,1
1985.070,1
S.I.-1946.Fl,1
1977.654,1
L.I.-[18--?]b.Fl,1
L.I.-1894b.Fl,1
2014.020,1
PAMP ASCAW-1,1
PAMP Wolfe-1,1
Mid Atl.-[1834].Fl,1
IPOF E441.F35 2006,1
IPOF E444.P56 1998,1
PAMP ConwayMD-1,1
(67) NYC-1969.A,1
Rev.War-1776(1976).Fl,1
CBBG KF4755 .P37 2010,1
PAMP DeGurowski-1,1
B P-1847.Fl.RA,1
B A-1844.Fl,1
1977.173,1
1986.030,1
PAMP ThompsonJP-1,1
2006.005,1
B P-[1897?]a.Fl,1
Q-[18--?]b.Fl,1
B P-[1870]a.Fl c.3,1
PAMP Sedgwick-1,1
1978.112,1
1977.315,1
2007.026,1
1978.071,1
2001.049,1
N.E.-2011.FL,1
2006.030,1
B P-1921.Fl,1
PAMP Reese-1,1
Lefferts PS1284.C7,1
PAMP RaymondHJ-3,1
1977.381,1
PAMP MacDonald-1,1
NYS-1757 (19--?).Fl c.2,1
ARC.257,1
B C-[1886?].Fl,1
PAMP PierceEL-2,1
ARC.113,1
US-15th-19th Century (1969).A c.2,1
1977.397,1
B A-1864a.Fl,1
PAMP ASCFPC-3,1
B A-1971i.Fl,1
(109) Rev. War-1775-1783 (1972).A c.1,1
B A-1976c.Fl,1
PAMP Duryea-2,1
V1991.004,1
B P-1873 (1958).Fl c.3,1
PAMP Channing-1,1
ARC.213,1
2004.026,1
ARC.096,1
L.I.-[1899].Fl,1
Lefferts PS3545.R45 W5 1911a,1
ARC.126,1
PAMP BRFAL-3,1
Pierrepont-1832.Fl,1
1977.080,1
M-1838.Fl.F,1
B P-1915.Fl,1
1974.027,1
2016.021,1
B C-1949.Fl,1
PAMP ArmstrongJJ-1,1
NYC-1897.Fl,1
1977.079,1
1977.507,1
B A-1859a.Fl,1
2008.019,1
B PP-[186-?]b.Fl,1
1977.518,1
B C-2011.Fl,1
1997.081,1
L.I.-1884.Fl,1
PAMP WhiteIC-1,1
IPOF E179.F69 1998,1
IPOF HV9950.A437 2010,1
1991.021,1
PAMP Drake-5,1
2000.009,1
PAMP Liberty-1,1
PAMP Callicot-1,1
B A-1881.Fd,1
PAMP ButlerBF-2,1
PAMP Collamer-2,1
E-US-[1646] (18--).Fl,1
1995.008,1
1986.047,1
B A-[189-?]a.Fl,1
PAMP MillerL-1,1
US-1936.Fl,1
ARC.238,1
Bergen-[18--?]v.Fl,1
PAMP DeFontaine-1,1
NYS-[1896].Fl,1
V1986.004,1
PAMP GACCSS-1,1
B P-[18--?]c.Fl.Folio,1
PAMP Lowrey-1,1
"USGS-1:24,000 (Patchogue).Fl",1
B P-[1835]a.Fl,1
1992.017,1
PAMP ClarkJ-1,1
CT-1758.Fl.RA,1
B P-[18--?]p.Fl,1
ARC.145,1
L.I.-[18--?]a.Fl,1
M-1782 (18--?).Fl,1
NYC-1828.Fl,1
M-1764 (1861).Fl,1
Bergen-1890b.Fl,1
1973.123,1
ARC.069,1
PAMP Grandy-1,1
E-US-[1756?].Fl.RA,1
PAMP Emancipation-1,1
1974.206,1
N.E.-1831.Folded,1
ARC.033,1
B P-1863a.Fl,1
L.I.-1877.Fl,1
PAMP AES-1,1
PAMP Foot-1,1
1981.003,1
PAMP Bokum-1,1
PAMP GrayWF-1,1
1977.393,1
PAMP HoweSG-1,1
1978.096,1
1973.169,1
ARC.002,1
1978.034,1
1987.025,1
1973.125,1
B P-1849 (19--?).R,1
1987.003,1
(98) Mid Atl.-1978.A,1
2006.027,1
B A-1982.Fl.O,1
1973.275,1
PAMP CSA-5,1
PAMP Eddy-1,1
1990.004,1
B A-[18--?]e.Fl,1
ARC.070,1
ARC.246,1
B P-[1849].Fl.Folio,1
B P-[1847]a.Fl,1
L.I.-1962.Folded,1
1974.005,1
IPOF E446.B58 2005,1
NYC-2009a.Fl,1
PAMP ClarkeJF-2,1
1980.036,1
1974.050,1
B A-[1912?].Fl.O,1
1985.008,1
PAMP McClernand-1,1
PAMP Scrap-1,1
2010.019,1
ARC.219,1
US-[194-?].Folded,1
V1997.023,1
Q-[1873]k.Fl,1
Rev. War-1793 (1976?).Fl,1
Bergen-[1868?].Fl,1
NYC-1865.Fl,1
Luquer-1889a.Fl,1
B A-1906.Fl,1
ARC.232,1
B P-1911.R,1
PAMP CSA-3,1
L.I.-1934.Fl,1
Q-1854.Fl.Folio,1
NYC-1853.Fd,1
1977.641,1
V1986.011,1
PAMP AFAS-4,1
ARC.187,1
PAMP Guion-1,1
PAMP ClayH-6,1
1991.056,1
NYC-[187-?].Fl,1
1985.024,1
ARC.158,1
1977.309,1
U.S.C.S.-117.Fl.F,1
ARC.159,1
L.I.-1911.Fl,1
NYS-1802-1805 (1847).Fl,1
Rev. War-[1776] (18--?).Fl,1
PAMP Adamic-1,1
PAMP HuntEB-1,1
PAMP AmCS-1,1
1987.002,1
PAMP AFAS-1,1
B A-1971p.Fl,1
ARC.112,1
B P-1903.Fl,1
PAMP Aristocracy-1,1
2004.021,1
PAMP ThayerE-2,1
B P-[1834]c.Fl,1
"USGS-1:24,500 (Brooklyn)1979.Fl",1
B A-1867.Fl c.2,1
B P-[18--?].Fl.Folio,1
L.I.-[18--?]d.Fl,1
ARC.282,1
Bergen-1873.Fl,1
1990.026,1
1978.012,1
PAMP Drake-4,1
ARC.086,1
PAMP Gasparin-1,1
B C-1986c.Fl.O,1
Bergen-1853.Fl.O,1
1973.098,1
V1981.009,1
PAMP VanDyke-1,1
NYS-1887a.Folded,1
B C-[1889?].Fl,1
"USGS-1:24,000 (Brooklyn)1975.Fl",1
PAMP Greenhow-1,1
1973.133,1
ARC.306,1
L.I.-1924.Fl,1
B A-1960.Folded,1
Bergen-[1853].Fl,1
G1253.S8,1
1977.477,1
B P-[1847]b.F,1
2002.020,1
ARC.212,1
PAMP OwenRD-1,1
B C-1949a.Fl,1
Bergen-[189-?]f.Fl,1
B A-[1856?].Fl,1
CBBG E185.62 .L83 2005,1
PAMP Bliss-1,1
ARC.008,1
V1991.054,1
PAMP ASCFPC-6,1
NYC-[1985?].Fl,1
PAMP DonnellEJ-1,1
V1982.004,1
V1990.074,1
M-1776 (189-?).Fl,1
PAMP Whiting-1,1
B A-1898a.Fl,1
ARC.045,1
